x,f1(x),f2(x)
9.2045e-07,0.500056,0.5
9.12011e-07,0.500009,0.5
9.03649e-07,0.50006,0.5
8.95365e-07,0.499939,0.5
8.87156e-07,0.499924,0.5
8.79023e-07,0.500022,0.5
8.70964e-07,0.499952,0.5
8.62979e-07,0.500004,0.5
8.55067e-07,0.500189,0.5
8.47227e-07,0.499898,0.5
8.3946e-07,0.500054,0.5
8.31764e-07,0.500043,0.5
8.24138e-07,0.500186,0.5
8.16582e-07,0.499828,0.5
8.09096e-07,0.499963,0.5
8.01678e-07,0.499929,0.5
7.94328e-07,0.500074,0.5
7.87046e-07,0.500051,0.5
7.7983e-07,0.499855,0.5
7.72681e-07,0.500222,0.5
7.65597e-07,0.500051,0.5
7.58578e-07,0.500087,0.5
7.51623e-07,0.499951,0.5
7.44732e-07,0.500038,0.5
7.37904e-07,0.499955,0.5
7.31139e-07,0.500111,0.5
7.24436e-07,0.500101,0.5
7.17794e-07,0.499917,0.5
7.11214e-07,0.499993,0.5
7.04693e-07,0.499899,0.5
6.98232e-07,0.500084,0.5
6.91831e-07,0.500102,0.5
6.85488e-07,0.499949,0.5
6.79204e-07,0.500099,0.5
6.72977e-07,0.500081,0.5
6.66807e-07,0.49989,0.5
6.60693e-07,0.500027,0.5
6.54636e-07,0.499997,0.5
6.48634e-07,0.499793,0.5
6.42688e-07,0.499946,0.5
6.36796e-07,0.499932,0.5
6.30957e-07,0.499745,0.5
6.25173e-07,0.499946,0.5
6.19441e-07,0.499982,0.5
6.13762e-07,0.499846,0.5
6.08135e-07,0.500133,0.5
6.0256e-07,0.500257,0.5
5.97035e-07,0.500214,0.5
5.91562e-07,0.499996,0.5
5.86138e-07,0.500243,0.5
5.80764e-07,0.499669,0.5
5.7544e-07,0.500241,0.5
5.70164e-07,0.499978,0.5
5.64937e-07,0.500229,0.5
5.59758e-07,0.500317,0.5
5.54626e-07,0.500234,0.5
5.49541e-07,0.499976,0.5
5.44503e-07,0.499535,0.5
5.39511e-07,0.500431,0.5
5.34564e-07,0.499633,0.5
5.29663e-07,0.500216,0.5
5.24807e-07,0.499841,0.5
5.19996e-07,0.500101,0.5
5.15229e-07,0.500197,0.5
5.10505e-07,0.500125,0.5
5.05825e-07,0.499876,0.5
5.01187e-07,0.50033,0.5
4.96592e-07,0.499727,0.5
4.9204e-07,0.499847,0.5
4.87528e-07,0.499797,0.5
4.83059e-07,0.499574,0.5
4.7863e-07,0.500138,0.5
4.74242e-07,0.500551,0.5
4.69894e-07,0.4998,0.5
4.65586e-07,0.499873,0.5
4.61318e-07,0.499776,0.5
4.57088e-07,0.499503,0.5
4.52898e-07,0.500129,0.5
4.48745e-07,0.499503,0.5
4.44631e-07,0.499805,0.5
4.40555e-07,0.499944,0.5
4.36516e-07,0.499917,0.5
4.32514e-07,0.499715,0.5
4.28549e-07,0.500542,0.5
4.2462e-07,0.499996,0.5
4.20727e-07,0.50051,0.5
4.16869e-07,0.500871,0.5
4.13048e-07,0.499771,0.5
4.09261e-07,0.499783,0.5
4.05509e-07,0.499622,0.5
4.01791e-07,0.500659,0.5
3.98107e-07,0.500159,0.5
3.94457e-07,0.499469,0.5
3.90841e-07,0.500033,0.5
3.87258e-07,0.500446,0.5
3.83707e-07,0.499193,0.5
3.80189e-07,0.500793,0.5
3.76704e-07,0.500715,0.5
3.7325e-07,0.500461,0.5
3.69828e-07,0.500024,0.5
3.66438e-07,0.499398,0.5
3.63078e-07,0.500261,0.5
3.59749e-07,0.499267,0.5
3.56451e-07,0.499812,0.5
3.53183e-07,0.500203,0.5
3.49945e-07,0.500437,0.5
3.46737e-07,0.498659,0.5
3.43558e-07,0.500405,0.5
3.40408e-07,0.500127,0.5
3.37287e-07,0.499666,0.5
3.34195e-07,0.501004,0.5
3.31131e-07,0.500193,0.5
3.28095e-07,0.499178,0.5
3.25087e-07,0.500054,0.5
