x1,x2,y1,y2
-0.292521,0.540563,-1.97849,-1.42534
-0.288852,0.50322,-1.97903,-1.3686
-0.28261,0.464605,-1.97993,-1.31535
-0.273903,0.424756,-1.98116,-1.2657
-0.262837,0.383713,-1.98265,-1.21978
-0.249523,0.341518,-1.98437,-1.17773
-0.234083,0.298219,-1.98625,-1.1397
-0.216654,0.253872,-1.98823,-1.10584
-0.197396,0.208547,-1.99023,-1.07634
-0.1765,0.162332,-1.9922,-1.05135
-0.154188,0.115333,-1.99405,-1.03105
-0.130724,0.0676829,-1.99572,-1.0156
-0.106406,0.0195353,-1.99717,-1.00513
-0.0815651,-0.0289356,-1.99834,-0.999722
-0.0565484,-0.0775432,-1.9992,-0.999421
-0.0317072,-0.126097,-1.99975,-1.00421
-0.00737932,-0.174414,-1.99999,-1.01404
0.0161236,-0.222325,-1.99994,-1.02878
0.038524,-0.269679,-1.99963,-1.04831
0.0595813,-0.31635,-1.99911,-1.07246
0.0790895,-0.36223,-1.99844,-1.10109
0.0968722,-0.40723,-1.99765,-1.13401
0.112777,-0.451275,-1.99682,-1.17108
0.126668,-0.494302,-1.99598,-1.21215
0.138422,-0.536252,-1.9952,-1.25709
0.147923,-0.577074,-1.99452,-1.30577
0.155053,-0.616716,-1.99398,-1.35808
0.159698,-0.655127,-1.99361,-1.41391
0.161734,-0.692253,-1.99345,-1.47316
0.161032,-0.728035,-1.99351,-1.53573
0.157446,-0.762408,-1.99379,-1.60153
0.150817,-0.795297,-1.99431,-1.67047
0.14096,-0.826617,-1.99503,-1.74245
0.127664,-0.856267,-1.99592,-1.81737
0.110679,-0.884124,-1.99694,-1.89512
0.0897081,-0.91004,-1.99799,-1.97556
0.0643904,-0.933832,-1.99896,-2.05855
0.034281,-0.955268,-1.99971,-2.1439
-0.00117865,-0.974048,-2,-2.23136
-0.0427041,-0.989775,-1.99954,-2.32057
-0.0912322,-1.00191,-1.99792,-2.41104
-0.148016,-1.00969,-1.99452,-2.50199
-0.21476,-1.01199,-1.98844,-2.59211
-0.29377,-1.00711,-1.97831,-2.67912
-0.387891,-0.992442,-1.96202,-2.75859
-0.499042,-0.964314,-1.93674,-2.82191
-0.622177,-0.920069,-1.90076,-2.85536
-0.740275,-0.863262,-1.85795,-2.85036
-0.840326,-0.801509,-1.8149,-2.81414
-0.920999,-0.73987,-1.77532,-2.75878
-0.985408,-0.680271,-1.74039,-2.6927
-1.03683,-0.623176,-1.71026,-2.62069
-1.07775,-0.568586,-1.68477,-2.54544
-1.10994,-0.516393,-1.66374,-2.46854
-1.13465,-0.466481,-1.64699,-2.391
-1.15276,-0.418756,-1.63436,-2.3135
-1.16493,-0.373154,-1.62572,-2.23653
-1.1716,-0.329636,-1.62091,-2.16045
-1.17311,-0.288184,-1.61982,-2.08555
-1.1697,-0.248794,-1.62228,-2.01207
-1.16153,-0.211477,-1.62814,-1.94021
-1.14873,-0.176245,-1.6372,-1.87017
-1.13136,-0.143116,-1.64925,-1.80214
-1.10949,-0.112099,-1.66404,-1.73629
-1.08316,-0.083195,-1.6813,-1.67279
-1.05243,-0.0563894,-1.7007,-1.61181
-1.01737,-0.0316471,-1.7219,-1.55353
-0.97807,-0.00890793,-1.74453,-1.4981
-0.934653,0.0119163,-1.76817,-1.44567
-0.887283,0.0309439,-1.79241,-1.39635
-0.836166,0.0483233,-1.81682,-1.35026
-0.781552,0.0642307,-1.84097,-1.30744
-0.723732,0.0788656,-1.86446,-1.26794
-0.663031,0.0924443,-1.8869,-1.23172
-0.599805,0.105191,-1.90794,-1.19873
-0.534429,0.117329,-1.92727,-1.16885
-0.467282,0.129072,-1.94465,-1.14192
-0.398742,0.140611,-1.95985,-1.11777
-0.329176,0.152114,-1.97272,-1.09616
-0.258928,0.163714,-1.98317,-1.07687
-0.188316,0.17551,-1.99111,-1.05965
-0.117626,0.187565,-1.99654,-1.04425
-0.0471157,0.199906,-1.99944,-1.03043
0.0229923,0.212529,-1.99987,-1.01799
0.0925045,0.225403,-1.99786,-1.00673
0.161255,0.238473,-1.99349,-0.996474
0.229105,0.251665,-1.98683,-0.987089
0.295936,0.264893,-1.97798,-0.978466
0.36165,0.278062,-1.96703,-0.97053
0.426164,0.291073,-1.95407,-0.963235
0.489411,0.303826,-1.93919,-0.956567
0.551333,0.316226,-1.92251,-0.950537
0.611883,0.328185,-1.9041,-0.945187
0.67102,0.339624,-1.88407,-0.940582
0.728707,0.350478,-1.86252,-0.93681
0.784911,0.360695,-1.83954,-0.933981
0.8396,0.370245,-1.81523,-0.932224
0.892741,0.379113,-1.7897,-0.931683
0.9443,0.387309,-1.76304,-0.932518
0.994235,0.394865,-1.73537,-0.934894
1.0425,0.401836,-1.70681,-0.938987
1.08905,0.408302,-1.67749,-0.944972
1.13382,0.414365,-1.64756,-0.953022
1.17675,0.42015,-1.61717,-0.9633
1.21777,0.425798,-1.58652,-0.975958
1.25679,0.431465,-1.55579,-0.991129
1.29374,0.437316,-1.5252,-1.00893
1.32854,0.44352,-1.49498,-1.02944
1.36112,0.45024,-1.46538,-1.05272
1.39141,0.457633,-1.43665,-1.0788
1.41936,0.465841,-1.40905,-1.10771
1.4449,0.474986,-1.38284,-1.13941
1.46802,0.48517,-1.35828,-1.17387
1.48869,0.496474,-1.33559,-1.21105
1.5069,0.508954,-1.31502,-1.25088
1.52264,0.522648,-1.29675,-1.29329
1.53593,0.537572,-1.28098,-1.33821
1.54678,0.553729,-1.26786,-1.38556
1.55518,0.571107,-1.25754,-1.43528
1.56116,0.589685,-1.25012,-1.48728
1.56469,0.609438,-1.24569,-1.54149
1.56576,0.630336,-1.24434,-1.59786
1.56435,0.652347,-1.24612,-1.65631
1.56039,0.675444,-1.25107,-1.71677
1.55381,0.699603,-1.25924,-1.77917
