t,phi1,phi2,phi1dot,phi2dot,deltaE
11.6,-0.369193,13.4685,-1.69801,1.64726,-0.000808284
11.65,-0.390929,13.5624,-1.72152,1.68582,-0.000808562
11.7,-0.409177,13.652,-1.72795,1.70758,-0.000808737
11.75,-0.424271,13.7384,-1.71936,1.71454,-0.000808861
11.8,-0.436457,13.8223,-1.69753,1.70849,-0.000808955
11.85,-0.445921,13.9042,-1.66404,1.69095,-0.00080903
11.9,-0.452804,13.9846,-1.62029,1.66333,-0.000809092
11.95,-0.457214,14.064,-1.56755,1.62687,-0.000809144
12,-0.459236,14.1426,-1.50699,1.58273,-0.000809188
12.05,-0.458934,14.2208,-1.43969,1.53199,-0.000809226
12.1,-0.456364,14.2989,-1.36671,1.47569,-0.000809258
12.15,-0.451571,14.377,-1.28905,1.41485,-0.000809285
12.2,-0.444595,14.4555,-1.20772,1.35048,-0.000809307
12.25,-0.435479,14.5344,-1.12373,1.28359,-0.000809325
12.3,-0.424265,14.614,-1.03813,1.21523,-0.000809337
12.35,-0.411004,14.6944,-0.951969,1.14648,-0.000809344
12.4,-0.395758,14.7757,-0.866367,1.07846,-0.000809345
12.45,-0.378603,14.858,-0.782473,1.01235,-0.000809339
12.5,-0.359635,14.9414,-0.701478,0.949344,-0.000809327
12.55,-0.338973,15.0258,-0.624596,0.890689,-0.000809308
12.6,-0.316765,15.1113,-0.553039,0.837621,-0.000809284
12.65,-0.293189,15.1976,-0.487975,0.791332,-0.000809258
12.7,-0.268454,15.2848,-0.430475,0.752922,-0.000809233
12.75,-0.242799,15.3726,-0.381452,0.723328,-0.000809213
12.8,-0.216483,15.4608,-0.3416,0.703271,-0.000809201
12.85,-0.189777,15.549,-0.31135,0.693203,-0.000809199
12.9,-0.162955,15.6372,-0.290846,0.693288,-0.000809208
12.95,-0.136278,15.725,-0.279958,0.703414,-0.000809227
13,-0.109988,15.8123,-0.278311,0.723218,-0.000809252
13.05,-0.0843039,15.899,-0.285338,0.752143,-0.00080928
13.1,-0.0594178,15.985,-0.300325,0.789482,-0.00080931
13.15,-0.0354976,16.0702,-0.322458,0.834426,-0.000809338
13.2,-0.0126895,16.1547,-0.350858,0.886097,-0.000809363
13.25,0.00887842,16.2384,-0.384602,0.943575,-0.000809386
13.3,0.0290924,16.3216,-0.42274,1.00591,-0.000809404
13.35,0.0478505,16.4041,-0.464305,1.07213,-0.000809417
13.4,0.0650595,16.4862,-0.508315,1.14126,-0.000809426
13.45,0.0806332,16.5679,-0.553778,1.2123,-0.000809429
13.5,0.0944899,16.6494,-0.599688,1.28425,-0.000809428
13.55,0.106551,16.7307,-0.645026,1.35608,-0.00080942
13.6,0.116738,16.8122,-0.688752,1.42676,-0.000809407
13.65,0.124972,16.8938,-0.729804,1.49523,-0.000809387
13.7,0.131172,16.9759,-0.767085,1.56038,-0.000809359
13.75,0.135246,17.0586,-0.799452,1.62109,-0.000809324
13.8,0.137097,17.1422,-0.825705,1.67614,-0.000809279
13.85,0.136611,17.2271,-0.844567,1.72427,-0.000809221
13.9,0.133652,17.3135,-0.854661,1.76411,-0.000809148
13.95,0.128057,17.402,-0.854482,1.79415,-0.000809055
14,0.119625,17.493,-0.842364,1.81275,-0.000808931
14.05,0.108094,17.5872,-0.816441,1.81803,-0.000808758
14.1,0.0931292,17.6856,-0.774609,1.80791,-0.000808495
14.15,0.0742762,17.7892,-0.714509,1.78004,-0.000808034
14.2,0.0509142,17.8997,-0.633588,1.73188,-0.000807047
14.25,0.0221694,18.0192,-0.529429,1.66103,-0.000804391
14.3,-0.0132,18.1508,-0.400961,1.56643,-0.000795605
14.35,-0.0568805,18.2988,-0.252516,1.4524,-0.000764122
14.4,-0.110538,18.4679,-0.105767,1.34059,-0.000691569
14.45,-0.173025,18.6566,-0.0172463,1.28739,-0.000763932
14.5,-0.236136,18.847,-0.0370904,1.3426,-0.000877494
14.55,-0.290775,19.0197,-0.125071,1.46549,-0.000990216
14.6,-0.334923,19.171,-0.219813,1.59428,-0.0010342
14.65,-0.370083,19.3054,-0.295261,1.70261,-0.0010461
14.7,-0.397978,19.4274,-0.345523,1.78442,-0.00104968
14.75,-0.419891,19.5402,-0.371201,1.84016,-0.00105102
14.8,-0.436717,19.6463,-0.374579,1.87204,-0.00105167
14.85,-0.449084,19.7471,-0.358179,1.88251,-0.00105205
14.9,-0.45744,19.844,-0.324371,1.87388,-0.00105232
14.95,-0.462116,19.9378,-0.275291,1.84826,-0.00105253
15,-0.46336,20.0293,-0.212867,1.80754,-0.0010527
15.05,-0.461368,20.1189,-0.13886,1.75346,-0.00105284
15.1,-0.456298,20.207,-0.0549108,1.68764,-0.00105296
15.15,-0.448287,20.294,0.0374238,1.61162,-0.00105307
15.2,-0.437455,20.3802,0.136637,1.52691,-0.00105316
15.25,-0.423919,20.4657,0.241251,1.43497,-0.00105324
15.3,-0.407795,20.5506,0.349801,1.33725,-0.0010533
15.35,-0.389204,20.635,0.460827,1.23521,-0.00105336
15.4,-0.368275,20.719,0.572877,1.1303,-0.0010534
15.45,-0.345146,20.8026,0.684516,1.02395,-0.00105343
15.5,-0.31997,20.8857,0.794338,0.917556,-0.00105345
15.55,-0.292909,20.9683,0.900992,0.812467,-0.00105346
