t,phi1,phi2,phi1dot,phi2dot,deltaE
12.6,-0.372104,14.4528,-3.39738,1.15927,-0.000711524
12.65,-0.394039,14.4814,-3.36027,1.13093,-0.000711522
12.7,-0.416014,14.5068,-3.31735,1.10027,-0.000711521
12.75,-0.438095,14.5291,-3.26882,1.06745,-0.00071152
12.8,-0.46034,14.5482,-3.21487,1.03262,-0.000711519
12.85,-0.482793,14.564,-3.15566,0.995882,-0.000711519
12.9,-0.505489,14.5765,-3.09135,0.957328,-0.000711518
12.95,-0.528445,14.5857,-3.02207,0.917035,-0.000711518
13,-0.551671,14.5916,-2.94797,0.87507,-0.000711519
13.05,-0.57516,14.5943,-2.86917,0.831491,-0.000711519
13.1,-0.598895,14.5937,-2.78581,0.78635,-0.000711519
13.15,-0.622847,14.59,-2.69804,0.739693,-0.00071152
13.2,-0.646978,14.5831,-2.60598,0.691562,-0.00071152
13.25,-0.67124,14.5732,-2.50976,0.641994,-0.00071152
13.3,-0.695581,14.5603,-2.40953,0.591021,-0.00071152
13.35,-0.719938,14.5447,-2.30541,0.538672,-0.000711521
13.4,-0.744249,14.5263,-2.19753,0.484973,-0.000711521
13.45,-0.768443,14.5053,-2.08602,0.429948,-0.000711522
13.5,-0.792448,14.4818,-1.97101,0.373623,-0.000711522
13.55,-0.816191,14.456,-1.85263,0.316028,-0.000711523
13.6,-0.839593,14.4279,-1.73102,0.257202,-0.000711524
13.65,-0.862577,14.3978,-1.60631,0.197193,-0.000711524
13.7,-0.88506,14.3657,-1.47868,0.136066,-0.000711525
13.75,-0.906962,14.3317,-1.34827,0.0739054,-0.000711526
13.8,-0.928198,14.2961,-1.21527,0.0108164,-0.000711527
13.85,-0.948683,14.2589,-1.07989,-0.0530689,-0.000711527
13.9,-0.968334,14.2204,-0.94235,-0.117591,-0.000711527
13.95,-0.987064,14.1805,-0.802888,-0.182562,-0.000711527
14,-1.00479,14.1396,-0.661773,-0.247765,-0.000711526
14.05,-1.02144,14.0976,-0.519291,-0.312957,-0.000711525
14.1,-1.03692,14.0549,-0.375745,-0.377869,-0.000711522
14.15,-1.05116,14.0113,-0.231455,-0.442211,-0.000711519
14.2,-1.0641,13.9672,-0.086754,-0.505676,-0.000711515
14.25,-1.07567,13.9226,0.0580191,-0.567944,-0.000711511
14.3,-1.08581,13.8775,0.202519,-0.628687,-0.000711505
14.35,-1.09447,13.832,0.3464,-0.687572,-0.000711499
