K,V,E,T,Eerr
61.3412,-2.53772,58.8035,76.3434,-3.08918e-05
61.331,-2.52694,58.804,76.3306,-2.22889e-05
61.313,-2.50863,58.8044,76.3083,-1.62841e-05
61.2919,-2.48725,58.8046,76.282,-1.20307e-05
61.2707,-2.46591,58.8048,76.2556,-9.2827e-06
61.2516,-2.44666,58.8049,76.2318,-7.42776e-06
61.2358,-2.43085,58.805,76.2122,-6.29884e-06
61.2243,-2.41933,58.805,76.1979,-5.54289e-06
61.2177,-2.41264,58.805,76.1896,-5.00946e-06
61.2162,-2.41111,58.8051,76.1877,-4.79875e-06
61.22,-2.4149,58.8051,76.1925,-4.63655e-06
61.2292,-2.42414,58.8051,76.204,-4.54491e-06
61.244,-2.43888,58.8051,76.2223,-4.49376e-06
61.2642,-2.45917,58.8051,76.2476,-4.46698e-06
61.2901,-2.48502,58.8051,76.2798,-4.3907e-06
61.3216,-2.51648,58.8051,76.3189,-4.26743e-06
61.3586,-2.55356,58.8051,76.3651,-4.38377e-06
61.4013,-2.59627,58.8051,76.4182,-4.49569e-06
61.4496,-2.64456,58.8051,76.4783,-4.71814e-06
61.5033,-2.69831,58.805,76.5452,-5.12575e-06
61.5623,-2.75728,58.805,76.6185,-5.69798e-06
61.626,-2.82103,58.8049,76.6978,-6.88307e-06
61.6935,-2.88871,58.8048,76.7819,-8.6734e-06
61.7636,-2.95897,58.8046,76.8691,-1.17294e-05
61.834,-3.02961,58.8044,76.9567,-1.64061e-05
61.9011,-3.09715,58.8039,77.0402,-2.37377e-05
61.9597,-3.15633,58.8033,77.1131,-3.42661e-05
62.0019,-3.19944,58.8024,77.1656,-4.92947e-05
62.017,-3.21574,58.8013,77.1845,-6.89902e-05
61.9915,-3.19158,58.7999,77.1527,-9.22956e-05
61.9106,-3.11199,58.7986,77.0521,-0.000113736
61.7641,-2.96592,58.7982,76.8697,-0.000121825
61.5558,-2.75637,58.7995,76.6105,-9.98827e-05
61.317,-2.5138,58.8032,76.3132,-3.69893e-05
61.1127,-2.30444,58.8083,76.059,4.97382e-05
61.0212,-2.20933,58.8119,75.9451,0.000111052
61.0924,-2.2812,58.8112,76.0337,0.0001001
61.3172,-2.51032,58.8068,76.3135,2.56951e-05
61.6318,-2.82987,58.8019,76.705,-5.8406e-05
61.959,-3.1601,58.7989,77.1123,-0.000109357
62.2444,-3.44614,58.7982,77.4674,-0.000120831
62.4659,-3.66688,58.799,77.7432,-0.000107007
62.6254,-3.82497,58.8004,77.9416,-8.39395e-05
62.7355,-3.93371,58.8018,78.0786,-6.0922e-05
62.8112,-4.00839,58.8029,78.1729,-4.21933e-05
62.8659,-4.06227,58.8037,78.241,-2.82805e-05
62.9098,-4.10551,58.8043,78.2955,-1.83965e-05
62.95,-4.14537,58.8046,78.3456,-1.17906e-05
62.9917,-4.1868,58.8049,78.3975,-7.62025e-06
63.038,-4.23299,58.805,78.4552,-5.13935e-06
63.0909,-4.28583,58.8051,78.521,-4.04972e-06
63.1513,-4.34618,58.8051,78.5961,-4.20997e-06
63.219,-4.414,58.805,78.6804,-5.6218e-06
63.2931,-4.48824,58.8048,78.7726,-8.63428e-06
63.3712,-4.56668,58.8045,78.8698,-1.37494e-05
63.4496,-4.64555,58.8041,78.9674,-2.16233e-05
63.5224,-4.71902,58.8034,79.058,-3.33433e-05
63.581,-4.7786,58.8024,79.131,-4.95167e-05
63.6139,-4.81272,58.8012,79.1719,-7.03668e-05
63.6036,-4.80463,58.799,79.1591,-0.000108283
63.5306,-4.7332,58.7974,79.0682,-0.000135442
63.3814,-4.58482,58.7966,78.8826,-0.000148635
63.1572,-4.35961,58.7976,78.6035,-0.000131207
62.8865,-4.08562,58.8009,78.2667,-7.50229e-05
62.6283,-3.823,58.8053,77.9452,-9.68945e-07
62.4514,-3.64361,58.8078,77.7251,4.21321e-05
62.3964,-3.5897,58.8067,77.6566,2.33006e-05
62.4521,-3.64858,58.8035,77.726,-3.04669e-05
62.5755,-3.77398,58.8015,77.8795,-6.50671e-05
62.7317,-3.92994,58.8018,78.074,-6.06799e-05
